raw_duration_ms,norm_by_session_mean,relative_ratio,is_tap,label
182.427,1.3175,2.5485,1,1
225.731,2.0147,5.307,1,1
184.566,1.6289,3.05,0,3
58.331,0.591,0.4791,0,2
42.624,0.4307,0.9313,0,2
45.187,0.2814,0.213,0,2
186.198,1.5563,1.2146,1,1
97.109,0.3976,0.7827,1,0
92.9,0.3808,0.2471,1,0
67.941,0.5937,1.2731,1,0
59.674,0.4561,1.2512,1,0
122.262,0.5028,1.1386,1,0
448.11,3.9718,7.7833,0,4
92.533,0.541,0.3822,1,0
152.513,1.4299,1.3427,1,1
40.228,0.4426,0.2549,1,0
182.225,1.5652,3.6254,1,1
46.724,0.4991,0.852,0,2
246.175,1.764,3.5809,0,3
448.848,1.8677,3.3651,1,1
84.313,0.5537,0.4658,1,0
57.132,0.5787,0.5212,1,0
66.528,0.662,0.303,1,0
102.473,0.6131,1.3527,1,0
37.881,0.3026,0.655,1,0
344.336,1.4868,2.7979,1,1
46.984,0.5216,1.0491,0,2
804.234,3.1922,1.6152,0,4
114.206,0.4397,0.3029,1,0
114.386,0.5083,1.0284,0,2
35.078,0.3639,0.6855,0,2
292.179,1.3207,2.0162,1,1
58.045,0.5398,0.3697,0,2
64.321,0.6032,1.3383,0,2
59.845,0.6186,0.3056,0,2
190.985,1.3061,2.3071,0,3
198.551,1.5218,2.5858,0,3
117.036,0.489,0.9226,0,2
177.928,1.5985,3.1051,1,1
220.787,1.5202,2.6629,1,1
239.781,1.3939,0.9223,1,1
51.148,0.583,0.3056,1,0
52.373,0.3927,0.9643,0,2
80.205,0.4987,0.3363,0,2
68.161,0.662,0.3971,0,2
69.747,0.5796,0.4405,0,2
56.165,0.5619,1.0192,0,2
49.196,0.4883,0.2871,0,2
106.069,0.6772,1.1818,1,0
51.026,0.6851,1.066,0,2
73.63,0.5093,1.0286,0,2
52.117,0.4953,0.9449,0,2
173.427,1.4402,0.9557,1,1
42.367,0.3085,0.6161,1,0
55.556,0.4637,0.8115,1,0
60.096,0.5021,0.3017,0,2
138.312,1.3232,0.6536,0,3
98.165,0.4049,0.1255,1,0
181.609,1.5389,3.8784,1,1
180.635,1.2633,1.2255,0,3
301.45,1.6466,2.9086,1,1
126.161,1.3382,2.8173,1,1
70.749,0.6012,0.1642,1,0
